DATASET,ALGORITHM,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
BARYCZ_B,TDS_S,248405,248222,248650,250784,248358,248510,248455,247414,248400,247529,247710,248082,248252,247682,248493,248009,248160,248927,248056,248544,248391,248019,248603,248391,248254,248494,248503,248244,248705,248361
BARYCZ_B,TDS_P,21122,21423,21016,21030,20943,20931,20989,21018,21121,20952,21010,21025,20993,20931,21001,20946,21287,21081,21006,20950,21048,21025,21035,21033,21065,21430,21076,21046,21015,20942
BARYCZ_B,DD_S,153247,153414,153183,153248,152992,152844,152916,153320,153101,153130,152852,153036,153224,153024,153026,153182,153413,153192,153166,152979,153208,153283,153157,153266,153241,153276,153217,153426,153249,153572
BARYCZ_B,DD_P,19389,19731,19565,19683,19438,21247,20113,19320,20738,18987,19271,19839,19720,20717,20201,20536,19942,18827,18779,19649,19080,19898,19768,20611,19910,19159,18560,18848,19046,19599
WIEPRZ_B,R_S,84792,84710,84533,84370,84614,85031,84978,84412,84618,84606,84497,84578,84685,84569,84730,84465,87246,84535,84580,85031,84562,84458,84563,84664,84549,84682,84559,84337,85000,84903
WIEPRZ_B,R_T100,84981,84559,84476,84676,87115,86898,84797,84791,84774,85160,87487,85209,87295,84866,85169,84921,84688,84692,85032,84883,90226,84784,87364,87525,88228,84807,88878,86770,85250,85810
WIEPRZ_B,R_T200,87502,87490,88842,89284,85107,84852,84816,87299,84784,87903,84718,84809,89172,87939,87421,87782,87420,84817,85080,84665,85188,88136,87472,88520,87396,87665,88085,84505,84834,88346
WIEPRZ_B,R_T400,87595,84793,84986,84701,88009,85069,84593,84624,87536,84735,87252,87433,87563,84772,84826,84598,87495,87373,84759,85159,84793,84790,84933,87441,84934,87450,84648,84801,84709,84472
WIEPRZ_B,R_T800,89644,87400,84848,87418,87740,85018,85288,84892,86076,84731,84896,85105,85015,85052,85159,87995,87635,84870,84900,87612,87973,88661,87349,87855,88320,87354,87677,84920,85161,85764
WIEPRZ_B,R_T1600,84629,87220,86835,88514,87524,88846,84669,84875,84632,84800,87474,84613,84951,87747,84612,85568,85256,89049,84750,87388,88040,87938,86838,84794,90101,84891,87311,84683,84655,86574
WIEPRZ_B,TDM_S,228047,221572,221323,221040,221158,223248,221391,221198,221351,221621,221336,221232,221264,221180,221402,221082,221483,221437,221256,221240,221318,221448,221606,221341,221303,221075,221299,221436,221395,221377
WIEPRZ_B,TDS_S,234115,226335,226619,226112,226271,226469,226880,226014,226465,226358,226742,226848,226005,225954,226420,226474,226621,226444,226395,226305,226426,226534,227140,226307,226513,226464,226675,226615,226081,227226
WIEPRZ_B,TDS_P,19248,19688,19831,19766,19916,19699,19706,19624,19818,19679,19735,19877,19884,19823,19748,19768,19597,19792,19584,19769,19603,19642,19825,19842,19776,19842,19742,19644,19900,19711
WIEPRZ_B,DD_S,140044,138957,139238,139540,139148,138857,139316,139174,139060,139296,139237,139345,139158,139281,139238,139451,139278,139232,139248,139675,139346,139260,139184,139155,139257,139177,139170,139070,139209,139193
WIEPRZ_B,DD_P,17450,18143,18305,18120,17792,18138,17253,16591,18063,16904,17232,16744,17289,15783,17049,17108,18791,17056,17079,17096,17665,17622,17319,16678,17326,17782,17637,17211,16914,18761
